CountryName,CapitalLatitude,CapitalLongitude,ContinentName,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Togo,6.116666666666666,1.216667,Africa,36,2,19,1.3
Tonga,-21.133333333333333,-175.2,Australia,36,21,5,1.1
Trinidad and Tobago,10.65,-61.516667,North America,197,156,7,6.4
Tunisia,36.8,10.183333,Africa,51,3,20,1.3
Turkey,39.93333333333333,32.866667,Europe,51,22,7,1.4
Turkmenistan,37.95,58.383333,Asia,19,71,32,2.2
Tuvalu,-8.516666666666667,179.216667,Australia,6,41,9,1.0
Uganda,0.3166666666666666,32.55,Africa,45,9,0,8.3
Ukraine,50.43333333333333,30.516667,Europe,206,237,45,8.9
United Arab Emirates,24.466666666666665,54.366667,Asia,16,135,5,2.8
United Kingdom,51.5,-0.083333,Europe,219,126,195,10.4
United States,38.883333,-77.0,Central America,249,158,84,8.7
Uruguay,-34.85,-56.166667,South America,115,35,220,6.6
Uzbekistan,41.31666666666667,69.25,Asia,25,101,8,2.4
Vanuatu,-17.733333333333334,168.316667,Australia,21,18,11,0.9
Venezuela,10.483333333333333,-66.866667,South America,333,100,3,7.7
Vietnam,21.03333333333333,105.85,Asia,111,2,1,2.0
Yemen,15.35,44.2,Asia,6,0,0,0.1
Zambia,-15.416666666666666,28.283333,Africa,32,19,4,2.5
Zimbabwe,-17.816666666666666,31.033333,Africa,64,18,4,4.7
